PostalCode,Borough,Neighborhood,Postal Code,Latitude,Longitude
M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",M1P,43.7574096,-79.27330400000001
M2P,North York,York Mills West,M2P,43.752758299999996,-79.4000493
M4P,Central Toronto,Davisville North,M4P,43.7127511,-79.3901975
M5P,Central Toronto,"Forest Hill North & West, Forest Hill Road Park",M5P,43.6969476,-79.41130720000001
M6P,West Toronto,"High Park, The Junction South",M6P,43.6616083,-79.46476329999999
M9P,Etobicoke,Westmount,M9P,43.696319,-79.53224240000002
M1R,Scarborough,"Wexford, Maryvale",M1R,43.750071500000004,-79.2958491
M2R,North York,"Willowdale, Willowdale West",M2R,43.7827364,-79.4422593
M4R,Central Toronto,"North Toronto West,  Lawrence Park",M4R,43.7153834,-79.40567840000001
M5R,Central Toronto,"The Annex, North Midtown, Yorkville",M5R,43.6727097,-79.40567840000001
M6R,West Toronto,"Parkdale, Roncesvalles",M6R,43.6489597,-79.456325
M7R,Mississauga,Canada Post Gateway Processing Centre,M7R,43.6369656,-79.61581899999999
M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",M9R,43.6889054,-79.55472440000001
M1S,Scarborough,Agincourt,M1S,43.7942003,-79.26202940000002
M4S,Central Toronto,Davisville,M4S,43.7043244,-79.3887901
M5S,Downtown Toronto,"University of Toronto, Harbord",M5S,43.6626956,-79.4000493
M6S,West Toronto,"Runnymede, Swansea",M6S,43.6515706,-79.4844499
M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",M1T,43.7816375,-79.3043021
M4T,Central Toronto,"Moore Park, Summerhill East",M4T,43.6895743,-79.38315990000001
M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",M5T,43.6532057,-79.4000493
M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",M1V,43.8152522,-79.2845772
M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",M4V,43.68641229999999,-79.4000493
M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",M5V,43.6289467,-79.3944199
M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",M8V,43.6056466,-79.50132070000001
M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",M9V,43.739416399999996,-79.5884369
M1W,Scarborough,"Steeles West, L'Amoreaux West",M1W,43.799525200000005,-79.3183887
M4W,Downtown Toronto,Rosedale,M4W,43.6795626,-79.37752940000001
M5W,Downtown Toronto,Stn A PO Boxes,M5W,43.6464352,-79.37484599999999
M8W,Etobicoke,"Alderwood, Long Branch",M8W,43.60241370000001,-79.54348409999999
M9W,Etobicoke,"Northwest, West Humber - Clairville",M9W,43.706748299999994,-79.5940544
M1X,Scarborough,Upper Rouge,M1X,43.836124700000006,-79.20563609999999
M4X,Downtown Toronto,"St. James Town, Cabbagetown",M4X,43.667967,-79.3676753
M5X,Downtown Toronto,"First Canadian Place, Underground city",M5X,43.6484292,-79.3822802
M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",M8X,43.653653600000005,-79.5069436
M4Y,Downtown Toronto,Church and Wellesley,M4Y,43.6658599,-79.38315990000001
M7Y,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",M7Y,43.6627439,-79.321558
M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",M8Y,43.6362579,-79.49850909999999
M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",M8Z,43.6288408,-79.52099940000001
